id;pregunta;opcion1;opcion2;opcion3;opcion4;respuesta
1;¿Cuántos lóbulos tiene la glándula tiroides?;1;2;3;0;2
2;¿Cuántos son los dientes de leche?;10;15;20;25;3
3;¿Cuántas caras tiene un icosaedro?;20;16;24;8;1
4;¿Cuántos centímetros cúbicos tiene un litro?;100;1000;10;1;2
5;¿Cuántos grados Kelvin son 0 grados Celcius?;283,15;100;273,15;10;3
6;¿En qué año falleció Steve Jobs?;2008;2009;2011;2007;3
7; ¿Cuál es el nombre común del ácido ascórbico?;Acido citrico;Vitamina C;Vitamina B6;Vitamina B12;2
8;¿Qué significa ARN?;Acido rico en nucleo;desoxirribonucleico;Acido ribonucleico;Antena rosa y numerada;3
9;¿Cuál es el mineral más duro del planeta?;Adamantio;Cuarzo;Diamante;Marmol;3
10;¿Qué sustancia libera el Sistema Parasimpático?;Adrenalina;Noradrenalina;Acetilcolina;Serotonina;3
11;¿Quién postuló la ley del principio de inercia?;Albert Einstein;Victor  Alvarado;Isaac Newton;Jhon Kennedy;3
12;¿Quién fue el Inventor de la dinamita?;Alfred Nobel;Heisenberg;Antony Stark;Walter White;1
13;¿Qué son la morfina y la heroína?;Anfetaminas;Cannabis;Estimulantes;opiaceos;4
14;¿A qué tienes miedo si sufres de aracnofobia?;Arañas;Elefantes;Hormigas;Mirlos;1
15;¿Quién es considerado el padre de la genética?;Aristoteles;Hugo de Vries;Gregor Mendel;Eric Von Tschermak;3
16;¿Qué sonido hace un elefante?;Brugen;Gruñen;Baritan;Gritan;3
17;¿Para que sirve la prueba del carbono 14?;Calcular los kilates de oro;Deducir la edad de un material;Calcular los electrones de un atomo;Galvanizar un material;2
18;¿Cómo se llama la arteria principal del cuerpo humano?;Carotida;Yugular;Aorta;Subclavia;3
19;¿Qué son las enzimas?;Celulas;Glucidos;Hadas;Proteinas;4
20;¿Con que parte del cuerpo hacen el zumbido las abejas?;Con las patas;Con las alas;Con la boca;Con las antenas;2
21;¿Cuál es el animal que tiene la presión más alta?;Conejo;Elefante;Serpiente;Jirafa;4
22;¿Cuáles son los efectos de la prolactina?;Crecimiento del cabello;ayuda al parto;Produccion de leche;Ninguna;3
23;¿Cuál es la distribución de Linux más usada?;Debian;ubuntu;Fedora;Mint;2
24;¿Cuál de los siguientes números es mayor?;El numero PI;El numero E;El numero aureo;El cero;1
25;¿Que se opera en una rinoplastia?;El pecho;La nariz;Liposuccion;Rodillas;2
26;¿Cuál es el hueso más pequeño del cuerpo?;el yunque;La falange;El estribo;Ninguna es correcta;3
27;¿Donde están los meniscos?;En ls rodillas;En los codos;En la punta del pie;En el perone;1
28;¿Qué tipo de músculos realizan los movimientos voluntarios?;Estriados;Lisos;Gordos;Gruesos;1
29;¿Cuál de estas redes sociales es de ámbito laboral?;Facebook;tuenti;Jobfire;Linkedin;4
30;¿Qué son los leucocitos?;Globulos blancos;Globulos rojos;Globulos azules;Globulos negros;1
31;¿Qué animal representa al Sistema Operativo Linux?;Leon;Panda;Pinguino;Leopardo;3
32;¿Qué son los triglicéridos?;Lipidos;Glucidos;Proteinas;Vitaminas;1
33;¿Qué estudia el herpetólogo?;Los Herpes;Reptiles y viboras;Los gusanos;Los virus;2
34;¿Qué estudia la icitología?;Los insectos;Las erupciones cutaneas;las rocas;Los peces;4
35;"¿Qué son los ""julios""?";Magnitud para el calor del sol;Magnitud de la energía,trabajo y calor;El mes más frío del invierno;El mes más caluroso del verano;2
36;¿Qué metal es líquido a temperatura ambiente?;Mercurio;Hierro;Wolframio;Niquel;1
37;¿Qué articulación une el fémur con la tibia?;Muñeca;Codo;Tobillo;Rodilla;4
38;¿Quién fue el inventor de la bombilla ?;Newton;Fahrenheit;Edison;Janssen;3
39;¿Qué es la hemofobia?;Ninguna es correcta;Miedo al agua;Miedo a las alturas;Miedo a la sangre;4
40;¿Cuál es el símbolo de Bromo?;No es un elemento;B;Br;Bh;3
41;¿En qué lugar del cuerpo se produce la insulina?;Pancreas;Higado;Intestino;Riñon;1
42;¿Cómo se mide la fuerza del viento en el mar?;Pies;Nudos;Zancadas;KM/H;2
43;¿Cómo se llama el nivel más alto de la marea?;Pleamar;Bajamar;Repunte;Estacionario;1
44;¿Qué parte del cuerpo humano puede tener un soplo?;Pulmon;Oido;Corazon;Colon;3
45;¿Qué tipo de mamífero es un conejo?;Roedor;Lagomorfo;Marsupial;Equino;2
46;¿Qué líquido almacenan los cactus?;Savia;Agua;Vino;Nectar;2
47;¿Qué sustancia permite realizar la fotosíntesis?;Savia;Clorofila;Cloroformo;Agua;2
48;¿Qué hace un procastinador?;Se obsesiona con el sexo;Presume sus logros;Pospone sus actividades;Es hiperactivo;3
49;¿Qué cambio de estado ocurre en la sublimación?;Solido a liquido;Solido a gaseoso;Gaseoso a liquido;liquido a solido;2
50;¿Qué función cumplen los bigotes del gato?;Son un organo tactil;Son un organo auditivo;Son un organo olfativo;Son de adorno;1
51;¿Qué es el calostro?;Un hueso de la espina dorsal;Una hormona;Una parte del intestino grueso;la primera leche materna;4
52;¿Qué es lo que transforma la leche en yogur?;Un virus;Un musgo;Una bacteria;El tiempo;3
53;¿Cuántas cavidades estomacales tiene una vaca?;Una;Dos ;Cuatro;Tres;3
54;¿Qué son los pugs ?;Una comida;un lugar;Una tradicion regional;Una raza de perro;4
55;¿Qué es un equino?;Una vaca;Un antilope;Una oveja;Un caballo;4
56;¿Qué significan las siglas USB?;Universal serial button;Uniform serial bus;Universal serial bus;Uniform sonic boom;3
57;¿Cuántos rayos gamma hay en una neurona?;Uno;Dos ;Tres;Ninguno;4
58;¿Cómo llamamos a la inflamación de la piel?;Urticaria;Dermatitis;Psoriasis;Acne;2
59;¿Cómo se conoce el virus del SIDA ?;VPH;VIH;ARN;HBV;2
60;¿Dónde tienen las papilas gustativas las moscas?;No tienen;En las patas;En la trompa;En las alas;2
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
